episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
193,-150.5,20.063412,-63.610138,60.54523,0,13,0.34173333333333333
194,-101.0,12.043079,-81.463936,61.667374,0,20,0.33919999999999995
195,-147.0,14.1961,-33.946968,60.828976,0,31,0.33520000000000005
196,-117.0,41.136898,-2.451456,56.62943,0,15,0.33333333333333337
197,-40.5,13.276073,-13.419703,59.809578,0,98,0.3204
198,-126.0,24.237629,-61.157795,66.5333,0,32,0.3162666666666667
199,-184.0,-20.408094,-127.27543,56.775963,0,14,0.31453333333333333
200,-61.0,7.576542,-10.438071,53.866745,0,82,0.3037333333333333
201,-105.0,18.579052,-1.6608675,57.846535,0,26,0.3004
202,-132.0,32.906853,-73.313156,62.76715,0,28,0.29679999999999995
203,-178.5,-9.039898,-139.84637,60.440247,0,15,0.2949333333333334
204,-71.0,34.900227,-1.7667397,59.516605,0,17,0.29279999999999995
205,-27.5,8.763542,-3.3529732,28.98694,0,111,0.27813333333333334
206,-93.0,16.91853,-12.6586,50.916485,0,31,0.27413333333333334
207,-142.5,29.03597,4.387509,55.63781,0,16,0.27213333333333334
208,-98.0,-10.713764,-159.96039,65.03148,0,37,0.2673333333333333
209,-134.0,15.053678,-5.48323,64.95486,0,115,0.2521333333333333
210,-86.0,27.932138,-7.6680183,56.13277,0,40,0.24693333333333334
211,87.0,10.466559,-7.593232,73.45917,0,148,0.2273333333333334
212,-61.0,18.38594,5.0571017,46.27817,0,58,0.21973333333333334
213,-134.5,18.819414,-2.119033,61.252316,0,23,0.2168
214,-21.0,12.639892,-8.0409775,61.680286,0,74,0.20706666666666662
215,52.5,9.26133,-13.569582,48.6747,0,66,0.19840000000000002
216,-153.5,26.66504,-20.024076,65.35091,0,11,0.1970666666666666
217,-84.0,8.003508,-13.80509,64.20698,0,95,0.18453333333333333
218,-146.5,12.713539,-10.072719,69.47515,0,15,0.18266666666666664
219,-40.5,19.163187,-29.55695,71.95521,0,33,0.1784
220,-86.5,20.824211,-62.335217,71.69027,0,21,0.1757333333333333
221,-80.0,16.55216,-12.9955435,66.24843,0,29,0.17200000000000004
222,-112.5,19.46029,-1.7001386,58.42761,0,19,0.16959999999999997
223,-101.5,27.215733,-12.673153,67.52126,0,19,0.16720000000000002
224,-120.5,27.793121,-22.992992,50.245224,0,11,0.16586666666666672
225,-148.5,28.539759,-34.1723,65.14742,0,105,0.15200000000000002
226,-128.5,43.792065,-7.7773848,75.0681,0,14,0.15026666666666666
227,12.5,38.245255,14.857926,81.71631,0,36,0.14559999999999995
228,-33.5,35.409374,9.955959,73.65064,0,34,0.1412
229,-92.0,20.091108,4.591268,64.85089,0,208,0.11360000000000003
230,-87.5,27.847483,5.9868946,63.581497,0,34,0.10919999999999996
231,-51.0,8.795255,-13.348375,66.71588,0,78,0.09893333333333332
232,-100.5,35.909317,-21.619425,80.75416,0,58,0.09133333333333338
233,-82.5,70.2297,17.403511,104.72515,0,34,0.0869333333333333
234,-130.5,62.058266,14.297588,103.56475,0,41,0.0816
235,-64.5,56.55557,25.184763,92.0866,0,27,0.07813333333333339
236,-121.5,44.98302,27.014399,69.189415,0,21,0.07546666666666668
237,-77.5,52.53334,13.885178,76.30083,0,36,0.07079999999999997
238,-11.0,27.782957,2.874622,100.05317,0,57,0.06333333333333335
239,-104.5,16.432068,-2.753957,82.47144,0,115,0.05
240,-115.5,68.500984,30.298315,91.95302,0,29,0.05
241,-101.5,64.72123,22.957718,101.55216,0,14,0.05
242,-122.0,44.711304,23.167734,77.23226,0,21,0.05
243,-91.5,63.495293,27.768291,90.753334,0,15,0.05
244,-107.5,73.727745,23.976366,109.27946,0,40,0.05
245,-53.5,45.21885,12.828765,74.77443,0,24,0.05
246,-89.5,20.647043,-3.3277235,90.31604,0,178,0.05
247,-94.0,48.789825,13.415841,115.92712,0,63,0.05
248,-140.0,53.49735,21.348118,113.41151,0,32,0.05
249,-96.0,78.79828,51.576805,101.67563,0,21,0.05
250,-136.5,75.71872,43.40311,110.09359,0,34,0.05
251,-43.5,43.646904,-43.133385,87.59934,0,63,0.05
252,-128.5,40.954437,-16.190598,82.53923,0,35,0.05
253,-91.5,61.87569,16.142908,85.71381,0,15,0.05
254,39.5,21.10424,0.9528246,77.15956,0,74,0.05
255,-129.5,12.361578,-2.982356,116.79303,0,291,0.05
256,-2.0,22.91974,-1.481575,74.68402,0,52,0.05
257,-84.0,46.878563,-53.972927,83.01187,0,23,0.05
258,-106.5,20.272331,-0.23196468,78.52532,0,32,0.05
259,-17.0,18.891682,-8.050768,84.92483,0,102,0.05
260,-47.5,46.969276,-1.4574285,87.634895,0,26,0.05
261,-179.0,44.45866,2.3488533,95.99768,0,92,0.05
262,55.0,30.861124,-0.12939057,100.235,0,45,0.05
263,-101.5,73.00997,38.620144,86.08771,0,14,0.05
264,-25.0,35.909573,1.2166836,90.88646,0,26,0.05
265,-72.0,35.68537,1.3956895,90.942375,0,33,0.05
266,-63.5,39.38903,-27.234291,93.98719,0,25,0.05
267,-78.5,32.26035,-3.7667103,91.17035,0,49,0.05
268,-137.0,83.00661,30.968742,101.95665,0,47,0.05
269,-63.5,60.596886,9.726777,102.740074,0,31,0.05
270,-21.5,23.96395,-5.367691,86.39077,0,45,0.05
271,-105.0,62.60039,29.454645,92.5553,0,29,0.05
272,-100.5,64.16525,30.033995,87.89019,0,21,0.05
273,-36.5,26.025259,4.9341593,88.32213,0,137,0.05
274,-130.0,60.402092,27.47036,75.64045,0,33,0.05
275,-107.5,52.012154,9.259115,80.00428,0,19,0.05
276,-52.5,12.143255,-4.427001,82.19516,0,148,0.05
277,-57.5,33.023876,9.628518,88.198105,0,34,0.05
278,-69.5,18.48927,-7.062029,92.64165,0,55,0.05
279,-64.5,40.680355,-5.5089765,79.69186,0,24,0.05
280,-79.0,34.812172,-2.6719003,73.9589,0,29,0.05
281,-40.0,49.94573,-2.3995948,83.04177,0,35,0.05
282,-127.5,14.379825,-3.700159,85.0996,0,101,0.05
283,-115.0,70.566376,38.395584,92.36723,0,40,0.05
284,-93.5,35.68783,3.3584313,89.33857,0,25,0.05
285,-113.5,27.438059,3.0705092,85.99155,0,26,0.05
286,-104.0,39.602303,-3.2242336,85.55521,0,68,0.05
287,-121.0,40.391254,5.693515,79.131004,0,24,0.05
288,-82.0,62.885513,0.001992941,89.738945,0,37,0.05
289,-44.5,8.50299,-11.823709,90.14077,0,516,0.05
290,-113.0,10.561146,-218.69345,81.86889,0,60,0.05
291,-53.5,19.706217,-0.6766479,94.19321,0,43,0.05
292,-93.5,38.57958,14.238345,76.71315,0,13,0.05
293,-62.5,35.080482,-6.448852,78.237015,0,22,0.05
294,-83.5,31.195316,-5.616673,77.42906,0,18,0.05
295,-48.5,10.472815,-76.52154,75.24111,0,42,0.05
296,-130.0,43.826855,22.602608,67.84162,0,32,0.05
297,-75.0,29.602976,-0.5975879,73.72204,0,79,0.05
298,-60.5,31.973045,-12.630352,82.245804,0,21,0.05
299,-127.0,9.7837925,-16.979916,76.05743,0,97,0.05
300,-57.0,17.286224,-28.77582,87.6533,0,41,0.05
301,-51.5,38.40599,-10.260482,87.36772,0,24,0.05
302,53.0,19.839224,-78.12355,78.75475,0,50,0.05
303,-112.0,25.1583,-16.70295,78.93392,0,77,0.05
304,-48.5,16.88019,-18.9649,89.10794,0,35,0.05
305,101.5,19.631538,0.34416705,78.03453,0,59,0.05
306,10.5,10.014078,-25.00606,72.763306,0,103,0.05
307,-30.5,32.48374,-1.9922379,89.90829,0,25,0.05
308,33.5,12.444652,-2.134886,87.03901,0,97,0.05
309,-90.5,48.110474,14.715436,83.112404,0,14,0.05
310,-92.5,48.701855,-35.951153,87.80356,0,31,0.05
311,-159.0,6.6769547,-160.95186,87.64199,0,13,0.05
312,41.5,22.834919,2.79166,81.548386,0,60,0.05
313,-117.5,39.095695,-16.476997,68.28831,0,19,0.05
314,-12.5,34.340004,-30.048372,77.35063,0,50,0.05
315,-76.0,25.09654,-11.932013,81.25358,0,30,0.05
316,-57.0,14.384122,-21.246029,78.330574,0,44,0.05
317,-64.0,14.465547,-2.6419294,70.16632,0,158,0.05
318,-68.0,39.1243,-11.794569,84.91805,0,24,0.05
319,-23.0,27.513885,-25.82096,80.37565,0,37,0.05
320,-49.0,19.161758,-0.041233152,76.304085,0,106,0.05
321,12.0,26.017828,0.33034283,79.05553,0,47,0.05
322,-58.0,29.324316,3.3913558,83.49281,0,42,0.05
323,-78.5,47.23826,7.8671665,81.83508,0,25,0.05
324,29.5,15.478978,-73.56437,77.35574,0,61,0.05
325,-34.5,32.16532,-17.997728,77.62838,0,35,0.05
326,-77.0,18.636162,-68.32697,66.812355,0,46,0.05
327,-129.5,45.01823,5.9602118,85.041374,0,25,0.05
328,-123.0,37.95608,-53.553944,90.735664,0,19,0.05
329,-2.0,23.57262,-17.801788,79.242615,0,30,0.05
330,139.5,17.863749,-0.4043262,73.01562,0,95,0.05
331,-120.0,19.628235,-45.29287,77.04461,0,297,0.05
332,-75.5,49.791744,-40.113934,90.15893,0,26,0.05
333,-84.5,32.38975,-20.625881,96.92726,0,29,0.05
334,-8.5,19.311485,-16.165806,94.586426,0,38,0.05
335,13.0,9.585725,-7.0398455,85.58781,0,184,0.05
336,-52.0,33.33652,6.607298,83.18499,0,46,0.05
337,-31.0,5.334484,-9.591907,84.47936,0,154,0.05
338,-49.0,16.900436,-30.041702,72.24072,0,74,0.05
339,12.0,30.257395,-5.6542735,86.51609,0,37,0.05
340,-77.0,45.982098,-48.531937,92.611435,0,28,0.05
341,-62.0,37.728542,-2.570927,87.35296,0,33,0.05
342,-144.0,27.483236,-34.99346,84.516426,0,57,0.05
343,-49.0,21.115015,-18.873167,91.199745,0,54,0.05
344,-141.0,3.6360412,-3.6550655,71.86537,0,217,0.05
345,-26.0,23.675604,-12.998549,88.88064,0,112,0.05
346,-68.0,14.060811,-8.7160845,81.46609,0,81,0.05
347,-63.5,25.233593,-14.404942,72.893166,0,92,0.05
348,-64.5,13.465251,-37.49547,85.88351,0,40,0.05
349,-54.0,12.998099,-13.922762,77.08854,0,122,0.05
350,-113.5,39.164677,-12.079452,93.42945,0,79,0.05
351,-53.0,28.35184,9.791339,65.81213,0,21,0.05
352,-132.5,51.740055,5.266291,67.37926,0,15,0.05
353,-46.0,38.324596,-37.593266,79.1663,0,21,0.05
354,-58.0,33.163116,-17.109598,82.090775,0,22,0.05
355,-53.0,33.769463,0.91215104,80.73441,0,32,0.05
356,-89.0,52.165634,15.187496,90.51918,0,20,0.05
357,163.0,5.68541,-4.768658,91.06507,0,146,0.05
358,-87.5,24.994781,-37.320724,76.56234,0,26,0.05
359,20.5,19.403934,-15.481409,88.43556,0,116,0.05
360,-84.0,37.69204,12.406177,78.56457,0,31,0.05
361,-101.0,43.09725,-2.3370178,81.89929,0,41,0.05
362,-81.5,42.69175,-3.034472,77.707375,0,23,0.05
363,-75.0,44.436142,-10.458195,83.44889,0,21,0.05
364,-86.5,48.255962,-29.206438,84.67529,0,26,0.05
365,-36.0,43.678024,13.462322,86.75279,0,34,0.05
366,-82.5,9.772847,-84.20771,80.13231,0,42,0.05
367,-128.0,60.30647,32.85937,80.46858,0,15,0.05
368,14.0,14.042613,-4.913618,90.17722,0,107,0.05
369,-83.5,51.98566,2.8181686,89.14057,0,17,0.05
370,-89.0,51.927208,10.703557,96.71376,0,20,0.05
371,-23.0,43.889446,13.519189,100.96832,0,29,0.05
372,-76.0,45.41807,7.311007,89.95481,0,20,0.05
373,54.0,10.352335,-6.77907,87.27893,0,104,0.05
374,-72.5,35.324875,-47.406754,76.45144,0,34,0.05
375,28.0,22.112768,-0.72899526,80.9921,0,51,0.05
376,-78.5,35.922104,-47.076027,84.202065,0,18,0.05
377,-61.5,31.445097,-50.087727,81.39975,0,23,0.05
378,-20.0,17.607294,-15.308885,78.79743,0,74,0.05
379,-111.5,31.283028,7.3083196,81.22984,0,72,0.05
380,-64.0,55.6546,14.545799,93.29903,0,26,0.05
381,14.5,21.46685,-8.46794,82.55159,0,41,0.05
382,-86.5,46.363785,-10.303246,80.32014,0,38,0.05
383,-89.0,42.802235,10.012472,78.13233,0,33,0.05
384,-81.5,42.30834,-8.827513,90.22002,0,36,0.05
385,-72.5,47.082478,-12.288721,83.70109,0,18,0.05
386,-58.0,16.931421,-14.039199,81.96456,0,61,0.05
387,-61.0,7.373466,-76.97592,108.36484,0,57,0.05
388,-85.5,43.903717,-38.739426,82.05676,0,21,0.05
389,-74.0,42.003498,-35.00071,80.62484,0,25,0.05
390,-111.5,39.562866,-26.796688,81.061775,0,30,0.05
391,7.5,25.259949,-1.4656663,91.99752,0,46,0.05
392,-77.5,34.149254,-68.447716,87.972664,0,24,0.05
393,62.5,12.042742,-50.88845,86.74425,0,102,0.05
394,-78.5,49.436882,25.541103,89.44437,0,20,0.05
395,-143.0,51.66513,-34.587753,88.90876,0,12,0.05
396,-81.5,41.11093,-8.222965,90.32593,0,33,0.05
397,-52.5,11.353189,-32.90474,84.7381,0,126,0.05
398,-87.0,54.823044,17.268274,92.820984,0,19,0.05
399,-94.5,34.8586,-73.865715,84.05797,0,17,0.05
400,-49.5,15.245475,-5.2069755,78.770424,0,76,0.05
401,70.0,12.743809,-9.809496,99.75481,0,151,0.05
402,-84.5,46.785206,-10.385606,93.281784,0,19,0.05
403,-63.5,46.758133,-11.203526,94.37844,0,17,0.05
404,-60.0,15.019383,-10.695297,89.5635,0,76,0.05
405,-95.5,28.829685,4.6711497,84.42651,0,31,0.05
406,159.0,8.381641,-11.081439,90.332565,0,146,0.05
407,85.0,11.03274,-27.373304,86.58112,0,66,0.05
408,-94.5,31.317535,-16.007061,86.58287,0,42,0.05
409,-70.5,43.44997,15.037135,85.41832,0,25,0.05
410,-99.5,46.31468,-5.252949,91.587975,0,17,0.05
411,-98.0,45.566975,1.723669,89.87587,0,26,0.05
412,36.0,13.478042,-12.543645,98.15997,0,176,0.05
413,-21.0,11.681486,-4.9499393,80.1344,0,86,0.05
414,-53.5,57.418697,17.40303,95.40038,0,17,0.05
415,-110.5,50.84135,-10.46542,90.70497,0,16,0.05
416,-79.0,50.894726,0.79166496,90.52877,0,17,0.05
417,-66.0,36.347824,-2.6343634,97.23744,0,38,0.05
418,13.5,14.981215,-5.568654,82.333336,0,55,0.05
419,-67.0,49.340733,6.4864078,88.50524,0,19,0.05
420,-88.0,56.038483,-8.73271,96.522514,0,34,0.05
421,13.5,6.81222,-14.651313,97.47145,0,110,0.05
422,-107.5,8.2651415,-12.884208,84.512924,0,109,0.05
423,-64.0,34.45476,-9.597017,74.88855,0,21,0.05
424,-15.0,25.334005,-6.882566,75.71755,0,33,0.05
425,-81.5,34.56994,-5.9969306,97.999725,0,44,0.05
426,-36.5,20.872328,-2.3819613,80.34263,0,42,0.05
427,-69.0,31.651228,-3.7165842,87.32276,0,59,0.05
428,-54.5,47.0422,-4.377473,87.01413,0,45,0.05
429,-98.0,39.34728,-27.87395,89.84388,0,30,0.05
430,-12.0,18.560928,-8.468609,91.537506,0,78,0.05
431,-78.0,35.006012,-13.490878,72.34591,0,43,0.05
432,-74.5,35.681015,-2.812134,91.45691,0,47,0.05
433,-25.5,49.38958,-4.2420835,98.767586,0,28,0.05
434,18.0,15.904445,-42.86888,93.8192,0,42,0.05
435,-23.5,28.49964,3.542163,83.54026,0,40,0.05
436,-83.5,43.63504,8.281481,89.63247,0,27,0.05
437,-141.0,54.82156,18.721989,87.71877,0,28,0.05
438,173.0,7.9262,-6.4839177,82.443436,0,124,0.05
439,-2.5,30.833853,-4.71177,90.80927,0,59,0.05
440,-119.0,36.28098,-64.0112,94.56884,0,19,0.05
441,60.5,9.183404,-2.935264,95.98639,0,100,0.05
442,-99.5,45.165527,-8.002991,82.94299,0,18,0.05
443,4.5,24.284664,-2.9061072,85.87666,0,36,0.05
